title,text,subject,date
"McCain presses U.S. Air Force, Pentagon over Russian engines","WASHINGTON (Reuters) - The head of the U.S. Senate Armed Services Committee on Wednesday increased pressure on the Pentagon and the Air Force, demanding answers over the continued use of Russian rocket engines for U.S. satellite launches. Senator John McCain, in a letter dated Feb. 10 seen by Reuters, asked Air Force Secretary Deborah James and Pentagon chief arms buyer Frank Kendall to explain why the U.S. government is continuing to deal with NPO Energomash, the Russian firm that builds Russian RD-180 rocket engines.  McCain pressed the officials on the legality of doing business with NPO Energomash given sanctions in place against Russian Deputy Prime Minister Dmitry Rogozin and others, who now have control over the company after a recent reorganization.      McCain also questioned the Air Force’s continued payment of a large launch support contract to United Launch Alliance (ULA), a joint venture of Lockheed Martin Corp and Boeing Co, despite the presence of a certified competitor, Space Exploration Technologies, or SpaceX. McCain said he wants answers to these questions by February 22.  James pledged to respond to the questions during a January hearing, but McCain said he followed up in writing to underscore his concerns about what he has described as subsidies to Russian leader “Vladimir Putin and his gang of corrupt cronies.” Congress banned use of the Russian RD-180 rocket engines for military use after Russia annexed Ukraine’s Crimea region in 2014. But U.S. lawmakers weakened the ban late last year, worried that it could drive ULA out of business and leave just privately-held SpaceX, to lift satellites into space. James and other officials have urged Congress to allow use of the Russian engines that power ULA’s Atlas 5 rocket for several years until alternatives are available in several years.  In his letter, McCain asked the U.S. and Air Force to explain what options they had to penalize ULA for not bidding in a recent launch competition despite receiving launch support of $800 million to $1 billion a year since 2006. He also asked the department to examine what percentage of that annual support contract was associated with ULA’s other family of rockets, the Delta 4, which the company plans to retire since it is more costly than the Atlas 5. McCain and other senators argue that it would be worth the extra cost to end U.S. reliance on the Russian engines.     ",politicsNews,10-Feb-16
China foreign minister to visit Myanmar amid Rohingya crisis,"BEIJING (Reuters) - Chinese Foreign Minister Wang Yi will visit Myanmar and Bangladesh from this weekend, his ministry said on Thursday, amid a crisis over Myanmar s treatment of Rohingya Muslims. More than 600,000 Rohingya have fled to Bangladesh since late August, driven out by a military counter-insurgency clearance operation in Buddhist-majority Myanmar s Rakhine State. A top U.N. official has described the military s actions as a textbook case of  ethnic cleansing . Myanmar rejects accusations of rights abuses. China has expressed support for what it calls the Myanmar government s efforts to protect stability. Foreign Ministry spokesman Geng Shuang told reporters that Wang would go to Bangladesh and Myanmar this weekend where he would meet his counterparts and exchange views on bilateral ties and issues of mutual regional concern. On Monday and Tuesday, Wang would attend a meeting of Asian and European foreign ministers in the Myanmar capital of Naypyitaw, Geng added. He did not say whether Wang would discuss the Rohingya issue. China and Myanmar have for years maintained close economic and diplomatic relations. The United States and other Western countries have become more engaged with Myanmar in recent years, since it began a transition to civilian government after nearly 50 years of military rule. International concern over the Rohingya situation has grown. U.S. Secretary of State Rex Tillerson called during a visit to Myanmar on Wednesday for a credible investigation into reports of human rights abuses against the Rohingya committed by Myanmar s security forces. ",worldnews,16-Nov-17
Democrat Hassan declares victory in New Hampshire Senate race,"BOSTON (Reuters) - New Hampshire Governor Maggie Hassan, a Democrat, on Wednesday declared that she had won her race for the U.S. Senate, though local media and her rival, incumbent Republican Kelly Ayotte, said the race remains too close to call. “It is clear that we have won,” Hassan said in a statement. “It will be my job in the U.S. Senate to make the best decisions for New Hampshire to work with President-elect Trump when it is in the best interest of New Hampshire and the country, and to stand up to him when it isn’t.” ",politicsNews,9-Nov-16
Burkina Faso recalls ambassador to Libya over 'slave markets' report,"OUAGADOUGOU (Reuters) - Burkina Faso s foreign minister said on Monday it had recalled its ambassador to Libya over a report that black African migrants were being auctioned as slaves there. The decision by the West African nation followed the broadcast by CNN of footage of what it said was an auction of men offered to Libyan buyers as farmhands and sold for $400, a chilling echo of the trans-Saharan slave trade of centuries past.  Libya s ambassador to Burkina Faso said his country was being unfairly blamed for a global problem that all nations affected must come together to solve. Foreign Minister Alpha Barry announced the decision by President Roch Marc Kabore in a news conference.  The president of Burkina Faso has decided to recall the ambassador to Tripoli, General Abraham Traore, for a consultation,  Barry said. He had also  summoned the Libyan charge d affairs in (Burkina Faso s capital) Ouagadougou to express our indignation at these images that belong to other centuries, images of the slave trade .  In a news conference on Wednesday, Libya s ambassador to Burkina Faso, Abdul Rahman Khameda, appealed for help from both the European Union and African Union to help Libya reach a lasting resolution of the migrant crisis.  Libya alone can not solve this problem,  he said.  We call on the international community to intensify efforts to help Libya cope with this danger (illicit migration), which is tearing at its social fabric.    African and European leaders are due to meet next week in Ivory Coast s main city, Abidjan, where migration and Europe s efforts to tackle it by co-opting Libya will be high on the agenda.  Adopting an effective solution will prevent certain parties from exploiting such unfortunate events to tarnish Libya s name,  Khameda said. An agreement between Europe and Africa to stem the flow of migrants coming through Libya to Europe had failed to tackle the severe abuses they face, the U.N. High Commissioner for Human Rights Zeid Ra ad al-Hussein wrote in an article published in September. ",worldnews,20-Nov-17
U.S. House passes $1.2 trillion measure to fund government,"WASHINGTON (Reuters) - The U.S. House of Representatives on Thursday passed a $1.2 trillion bill to fund most government activities in the fiscal year beginning Oct. 1, knowing the Senate will disagree with many controversial elements and force a negotiation that could stretch into December. The bill, passed by a 211-198 vote largely along party lines in the Republican-controlled House, provides $658.1 billion for the Department of Defense and $44.3 billion for the Department of Homeland Security, including roughly $1.6 billion for construction of physical barriers along the U.S.-Mexican border. The $31.4 billion allotted for the Department of the Interior, the Environmental Protection Agency (EPA), the Forest Service, the Indian Health Service and related agencies cut the EPA’s funding by $534 million when compared to the prior fiscal year. The funding measure also included a provision that would stop the Internal Revenue Service from implementing a provision of the 2010 Affordable Care Act, commonly known as Obamacare, that imposes a tax penalty on individuals who elect to go without health insurance. Representative Kevin McCarthy, a member of Republican leadership, said the funding measure would make “major changes to the way Washington spends taxpayer dollars.” “Our funding legislation forces the government to do what it ought to do and to stop doing what it shouldn’t do,” McCarthy said in a statement, praising it for “strengthening our national defense, veterans’ programs, and border security,” and “cutting abusive Washington agencies like the IRS and the EPA.” Democrats warned that the bill, which bundled together 12 separate funding measures and earned just one Democratic vote, would need substantial revision in the Senate, where Republicans hold 52 of 100 seats but most legislation requires 60 votes for passage. “These bills cannot be enacted into law because they cannot gain Democratic votes,” Democratic Representative Nita Lowey said in a statement, calling the House-passed bill “inadequate and partisan.”   ",politicsNews,14-Sep-17
"Trump to intervene to keep U.S. jobs at home on 'day-by-day' basis, Pence says","WASHINGTON (Reuters) - President-elect Donald Trump, fresh off a deal to keep nearly 1,000 U.S. jobs in the country, will decide whether to intervene with other companies to keep them from moving jobs overseas “on a day-by-day basis,” Vice President-elect Mike Pence said on Sunday. Pence said the deal Trump reached last week to keep Carrier, a unit of United Technologies Corp, from shipping jobs to Mexico from an Indiana air conditioner plant showed the incoming administration would confront U.S.-based firms when needed and use a carrot-and-stick approach to keep them from offshoring jobs. The Carrier deal included $7 million in tax breaks to encourage United Technologies to keep the jobs in Indiana. On Twitter early Sunday morning, Trump also revived his campaign threat to slap a 35 percent tariff on imports of products made by companies that have moved production out of the United States. “Please be forewarned prior to making a very expensive mistake,” Trump said, telling companies that moved jobs overseas would face “retribution or consequence.” Trump has pledged to lower the corporate tax rate and roll back federal regulations to create a better climate in the United States for businesses. Trump is sending a message to businesses considering moving overseas that “things are really changing,” Pence said on ABC’s “This Week” program. “He is going to put on the table all the tools that are going to take away the advantages of companies that for far too long have been pulling up stakes, leaving American workers behind,” Pence told ABC. Asked if Trump would now pick up the phone to call other companies considering shipping jobs overseas, Pence said “the president-elect will make those decisions on a day-by-day basis.” Trump’s incoming chief of staff, Reince Priebus, said he expected the president-elect would be burning up the phone lines to warn companies to keep jobs at home. “I would not be surprised if he wasn’t on the phone with all of these companies, as many as he can to encourage them to stay, stick it out,” Priebus told Fox News Channel’s “Fox and Friends.” Trump, who made his pledge to keep manufacturing jobs from fleeing the country a centerpiece of his campaign, already has warned another company, Rexnord Corp, an industrial supplier based in Milwaukee that plans to move a bearings plant and its 300 jobs from Indiana to Mexico. “Rexnord of Indiana is moving to Mexico and rather viciously firing all of its 300 workers. This is happening all over the country. No more!” Trump said on Twitter on Friday. Pence said the incoming administration was committed to living up to Trump’s campaign pledge to keep manufacturing jobs at home. “We’re going to create trade policies that take away the advantages that these multinational corporations have had in moving jobs overseas now for decades,” he said. “It’s just the beginning. Stay tuned. Be ready,” Pence said on NBC’s “Meet the Press.” ",politicsNews,4-Dec-16
"Unbending on border, Ireland says there work to do to get Brexit deal next month","DUBLIN (Reuters) - Ireland, armed with an EU veto and insistent on an open Irish border after Britain leaves the bloc, is hopeful agreement can be reached by mid-December but believes sufficient progress has yet to be made. Foreign Minister Simon Coveney said on Thursday his country needed more clarity from London. The border between Ireland and Northern Ireland, which will be the UK s only land frontier with the bloc after its departure, is one of three issues Brussels wants broadly solved before it decides next month on whether to move the talks onto a second phase about trade, as Britain wants.  I am hopeful this can be reached in December, but it is by no means pre-determined... We need a lot more clarity,  Coveney told a parliamentary committee while repeating that with three weeks to go, Dublin has still not received proposals from London to allow talks to move on. Before it can sign off on the first phase of talks, the Irish government wants Britain to spell out in writing how it intends to make good on its commitment that the 500-km (310 mile) border will remain as seamless post-Brexit as it is today. Dublin has said this can be best achieved if London commits, on behalf of Northern Ireland, that there would be no regulatory divergence north and south of the border. Coveney said that includes all areas from agriculture to state aid rules. Speaking to reporters in Paris, Ireland s European Affairs Minister Helen McEntee said Dublin would continue to resist the idea expressed by some British ministers that talks need to move onto the trade phase before the border issue can be resolved.  They are asking us to take a leap in the dark and we are not going to take a leap in the dark. We need something more concrete,  McEntee said. The border question is particularly sensitive given the decades of violence over whether Northern Ireland should be part of the UK or Ireland.  Some 3,600 people were killed before the 1998 peace agreement.  We have been very clear in terms of what we re asking for, that hasn t changed for months. What has changed, perhaps, is the expectation that Ireland, maybe when we came under a bit of pressure, that we might back off or accept that this would be deferred into phase two,  Coveney said.  Some people seem to be surprised that that s not happening, maybe they weren t listening when we told them the first time, or the second time or the tenth time but I think people are listening now.  ",worldnews,23-Nov-17
"UK's Hammond urges party to unite on Brexit, says EU is 'the enemy'","LONDON (Reuters) - British finance minister Philip Hammond sought to quell accusations from within his Conservative Party that he is taking too soft an approach to Brexit and said the European Union represented  the enemy  in the negotiations. Hammond, who has come under increasingly hostile fire from supporters of a tough approach to splitting Britain from the EU, told Sky News television that it was time for the Conservatives to end their in-fighting over the Brexit talks.  I understand that passions are high, I understand that people have very strong views about this, but we are all going to the same place, we all have the same agenda,  he said in an interview on the sidelines of International Monetary Fund meetings in Washington.  The enemy, the opponents, are out there on the other side of the table. Those are the people that we have to negotiate with. We have to negotiate hard to get the very best deal for Britain,  Hammond said. Hammond infuriated pro-Brexit newspapers this week and was criticized by some Conservatives including former finance minister Nigel Lawson for not agreeing to spend money now on preparations for the possibility of Britain leaving the EU without a deal. Speaking to media in Washington on Friday, Hammond declined to say whether he would vote for Brexit if there were a second referendum. Hammond who campaigned for Britain to remain part of the EU ahead of the June 2016 vote. Echoing Prime Minister Theresa May s own reticence on the issue, Hammond declined to say how he would vote if another referendum were held now.  We ve had the referendum,  he told the BBC.  You know how I voted in it.  Earlier this week May declined to answer a similar question, stoking concerns among Brexit supporters that she is not fully committed to taking Britain out of the EU. On Thursday May s spokeswoman said the prime minister had full confidence in Hammond. ",worldnews,13-Oct-17
U.S. Senate confirms Pompeo to be Trump's CIA director,"WASHINGTON (Reuters) - The U.S. Senate confirmed Representative Mike Pompeo as President Donald Trump’s CIA director on Monday, after a delay tied to some lawmakers’ worries he might expand surveillance or allow the use of certain interrogation techniques widely considered torture. Sixty-six senators backed Pompeo and 32 voted against. All the opposition was from Democrats, except for Senator Rand Paul, a leading Republican advocate for strict control of surveillance. Shortly afterward, Pompeo was sworn in by Vice President Mike Pence. Some senators felt Pompeo, 53, had not pledged strongly enough to allow only the use of interrogation techniques included in the Army Field Manual, as required by law, rather than return to waterboarding and other “enhanced interrogation techniques,” or EITs, used by the CIA in the years after the Sept. 11 attacks. Trump’s predecessor, Barack Obama, signed an executive order in 2009 banning waterboarding - a form of simulated drowning - and other EITs, which are denounced by many lawmakers and rights groups as torture. In response to written questions from the Senate Intelligence Committee, Pompeo said he was open to changing policy under certain circumstances. “I will consult with experts... on whether the Army Field Manual uniform application is an impediment to gathering vital intelligence to protect the country.” Pompeo wrote. Trump promised during his presidential campaign to bring back waterboarding and “a hell of a lot worse.” Democratic Senator Ron Wyden spoke for more than an hour in the Senate in opposition to Pompeo’s nomination, saying he had provided inconsistent answers on surveillance and interrogation tactics, making it impossible to know how he would implement policy at the CIA. Wyden cited an op-ed Pompeo co-authored last year that called for restarting the bulk collection of domestic telephone metadata and combining it with financial and lifestyle information into one searchable database.  He accused Pompeo of having proposed “the most sweeping new surveillance program I have ever heard of.” Paul wrote in an op-ed: “I voted against the new CIA Director because I worry that his desire for security will trump his defense of liberty.” Most Republicans called Pompeo, a member of the House Intelligence Committee, an excellent choice. Senator John McCain, a leader of the fight for legislation barring the use of the rough interrogation methods, said: “I have no reason to doubt Congressman Pompeo’s word.”  McCain added: “I fully support his confirmation. Going forward, I will continue to closely monitor this issue, and use my oversight powers to ensure the law is obeyed.”  ",politicsNews,24-Jan-17
Trump settles legal dispute with former campaign aide,"(Reuters) - Republican presidential nominee Donald Trump’s campaign has settled a legal dispute with former aide Sam Nunberg, according to a court document filed in New York on Thursday. Trump had sought $10 million in damages from Nunberg in arbitration proceedings. Trump accused Nunberg, who was fired in 2015, of violating a confidentiality agreement. The one-page filing with a New York state court did not give the terms of the settlement. Nunberg’s attorney, Andrew Miltenberg, said “the matter was amicably resolved” but he declined to comment further. The Trump campaign did not immediately respond to a request for comment. Nunberg said in court filings in July that Trump accused him of being the source for a New York Post story in May that recounted a public argument between Corey Lewandowski, who was then the campaign manager, and Hope Hicks, Trump’s spokeswoman. In the affidavit, Nunberg said the argument was part of a “sordid and apparently illicit affair” between the two. He denied being the source for the New York Post story. Lewandowski was fired by the campaign in June, a move apparently unrelated to the Post story.  A Trump Organization lawyer, Alan Garten, last month called Nunberg’s allegations “categorically untrue.” The Trump campaign fired Nunberg in August 2015 after the discovery of Facebook posts that critics deemed racist. Nunberg has denied he wrote the posts. ",politicsNews,11-Aug-16
